     70/99     5.49G   0.02178  0.007799         0   0.02958         4       640      0.97    0.9167     0.924     0.398   0.02644  0.004305         0
     71/99     5.49G   0.02074  0.007128         0   0.02787         1       640    0.9714    0.9444    0.9663    0.4548   0.02519  0.004212         0
     72/99     5.49G   0.02236  0.006888         0   0.02924         2       640         1    0.9722    0.9855    0.5243   0.02271   0.00408         0
     73/99     5.49G   0.01971  0.007593         0    0.0273         3       640         1    0.9722    0.9889    0.4717   0.02577   0.00417         0
     74/99     5.49G   0.01952    0.0076         0   0.02712         3       640         1    0.9722    0.9919    0.4884   0.02367  0.004129         0
     75/99     5.49G    0.0197  0.007092         0    0.0268         2       640         1    0.9722    0.9916    0.4868   0.02404  0.004068         0
     76/99     5.49G   0.01999  0.006713         0   0.02671         1       640         1    0.9722    0.9889    0.5106   0.02306  0.004121         0
     77/99     5.49G   0.01872  0.006449         0   0.02517         1       640    0.9714    0.9444    0.9774    0.4575   0.02725    0.0042         0
     78/99     5.49G   0.01844  0.007341         0   0.02578         1       640         1    0.9722    0.9903    0.4872   0.02473  0.004095         0
     79/99     5.49G    0.0184    0.0068         0    0.0252         1       640         1    0.9722     0.988    0.5405   0.02078  0.004019         0
     80/99     5.49G   0.01972  0.006602         0   0.02632         3       640         1    0.9722    0.9754    0.4863   0.02262  0.004165         0
     81/99     5.49G   0.01866  0.006491         0   0.02515         3       640         1    0.9722    0.9754    0.4683   0.02528  0.004253         0
     82/99     5.49G   0.01844  0.007031         0   0.02547         3       640    0.9143    0.8889    0.9112    0.4111   0.02779  0.004402         0
     83/99     5.49G   0.01952  0.006393         0   0.02591         2       640    0.9714    0.9444    0.9664    0.4385   0.02545  0.004463         0
     84/99     5.49G   0.01851  0.006667         0   0.02518         3       640         1    0.9722    0.9754    0.4777    0.0234  0.004391         0
     85/99     5.49G   0.01721  0.005668         0   0.02288         1       640         1    0.9722    0.9838    0.4694   0.02488  0.004335         0
     86/99     5.49G   0.01744  0.006676         0   0.02411         1       640    0.9428    0.9167    0.9371    0.4641   0.02565  0.004207         0
     87/99     5.49G   0.01617  0.005901         0   0.02207         1       640         1    0.9722     0.992    0.4925   0.02347  0.004047         0
     88/99     5.49G   0.01722  0.006324         0   0.02354         1       640         1    0.9722    0.9907    0.4491   0.02631  0.004107         0
     89/99     5.49G   0.01702  0.005836         0   0.02285         1       640         1    0.9722    0.9908    0.4459   0.02534  0.004118         0
     90/99     5.49G   0.01645  0.006017         0   0.02247         1       640         1    0.9722    0.9911     0.509   0.02326  0.004016         0
     91/99     5.49G   0.01627  0.005736         0     0.022         2       640         1         1    0.9962    0.4918   0.02369  0.003943         0
     92/99     5.49G   0.01624   0.00644         0   0.02268         1       640         1         1    0.9962    0.4724   0.02556     0.004         0
     93/99     5.49G   0.01592  0.005941         0   0.02186         1       640         1    0.9722    0.9907    0.4886   0.02395  0.004029         0
     94/99     5.49G   0.01544  0.005841         0   0.02128         1       640         1    0.9722    0.9907     0.492   0.02401  0.004089         0
     95/99     5.49G   0.01672  0.006519         0   0.02324         4       640         1    0.9722    0.9906    0.4993   0.02354  0.004149         0
     96/99     5.49G   0.01532  0.005914         0   0.02123         2       640         1    0.9722    0.9912    0.5001    0.0239  0.004143         0
     97/99     5.49G   0.01638  0.005889         0   0.02227         4       640         1    0.9722    0.9901    0.4563   0.02615  0.004324         0
     98/99     5.49G   0.01525  0.005697         0   0.02095         1       640         1    0.9722    0.9884    0.4921   0.02443  0.004314         0
     99/99     5.49G   0.01673    0.0064         0   0.02313         2       640         1    0.9722    0.9876    0.4841   0.02459  0.004304         0
